ImageID,diagnostics_Image-original_Mean,diagnostics_Image-original_Maximum,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,original_shape_elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_energy,original_firstorder_entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_Totalenergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_Differenceentropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_Jointenergy,original_glcm_Jointentropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_Sumentropy,original_glcm_SumSquares,original_gldm_Dependenceentropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelemphasis,original_gldm_LargeDependenceemphasis,original_gldm_LargeDependenceHighGrayLevelemphasis,original_gldm_LargeDependenceLowGrayLevelemphasis,original_gldm_LowGrayLevelemphasis,original_gldm_SmallDependenceemphasis,original_gldm_SmallDependenceHighGrayLevelemphasis,original_gldm_SmallDependenceLowGrayLevelemphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunemphasis,original_glrlm_LongRunemphasis,original_glrlm_LongRunHighGrayLevelemphasis,original_glrlm_LongRunLowGrayLevelemphasis,original_glrlm_LowGrayLevelRunemphasis,original_glrlm_Runentropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunemphasis,original_glrlm_ShortRunHighGrayLevelemphasis,original_glrlm_ShortRunLowGrayLevelemphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneemphasis,original_glszm_LargeAreaemphasis,original_glszm_LargeAreaHighGrayLevelemphasis,original_glszm_LargeAreaLowGrayLevelemphasis,original_glszm_LowGrayLevelZoneemphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaemphasis,original_glszm_SmallAreaHighGrayLevelemphasis,original_glszm_SmallAreaLowGrayLevelemphasis,original_glszm_Zoneentropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
981,100.3976537,2150,2658,7,0.70775492,0.443586447,11.99178446,27.03370347,24.8394847,25,28.17800561,28.70540019,2628.333333,19.13323664,0.514558956,1789.92958,0.681013157,2658,680,823,1492698693,3.09709341,63,3.282905281,964,41.28977133,747.5225734,745,596,368,27.95972515,749.3911984,0.412672811,1492698693,0.138978203,2797.170484,60.27610404,841.4477277,23.61420744,16.15623415,1.459005831,0.833832941,0.829525756,1.642843113,0.740357663,0.668576129,0.645226561,0.994442045,0.953157686,-0.318415501,0.916891865,0.461849894,7.52315541,0.04289124,5.161016649,0.864550405,0.105208295,15.04631082,3.972316462,4.403809995,7.070700263,164.7795335,0.061993805,23.45699879,369.4040632,4.565749663,59.78216704,109.2528217,5982.244169,2.700517115,0.02449517,0.042544937,2.736174391,0.001480719,239.6361419,0.132068822,4.922737086,61.33067421,3.125594231,182.0715614,0.075355112,0.024609598,4.425989045,983.8282506,0.532525621,0.682207559,0.83946474,0.751140067,47.18655496,0.018508289,9.854166667,0.102647569,8.998263889,64.625,8459.166667,462221.8021,176.6104373,0.040623853,17,0.177083333,0.424482367,24.57568237,0.022631029,5.636675392,0.036117381,7692.56901,1.290060469,0.005580479,59.45439931,0.020331088,0.607391743
608,74.96243033,992.2108154,13073,2,0.370132331,0.342782512,19.00539335,55.44446609,31.06444913,54.81788029,51.623638,56.33826408,13025.45833,20.52178947,0.633953991,4223.006278,0.324211722,13073,300.9266724,396.8836914,1632718968,2.517708684,51.27011108,2.302426616,444.2055664,28.72136619,351.6719925,354.1591187,256.7953186,187.4102478,21.16811305,353.4012559,-0.16517894,1632718968,0.192502611,1219.257352,22.21465989,130.1078112,-3.494779961,7.579067447,0.443057081,0.889474296,0.406288985,1.052161782,0.272163312,0.802910268,0.800532317,0.993235708,0.955263538,-0.451032706,0.943530692,0.374808759,4.520012286,0.090800513,3.880755613,0.900587066,0.184198536,9.040024572,3.380601974,2.005531132,7.056167147,578.2110457,0.044229408,37.58707367,2516.586629,2.033927227,22.91210893,270.4477167,6024.067008,19.52454476,0.074354113,0.015575281,0.39822984,0.001483,1080.649852,0.183100668,2.200004664,23.46048816,9.257736965,205.5468956,0.682616912,0.076542966,4.754016011,1888.345571,0.310833964,0.451547229,3.619602078,0.558925209,13.33351823,0.044677157,18.53383459,0.13935214,4.002713551,27.37593985,235808.0977,5447474.917,13825.96641,0.124417378,24.56390977,0.184691051,0.407118072,11.8751321,0.04336776,5.377504821,0.01017364,226146.5381,24.47892797,0.001183792,8.738188846,0.025351442,0.025560596
562,50.85083412,591,3714,5,0.670737862,0.530934265,15.62117385,29.42204882,24.35159132,28.44292531,42.05948169,44.38468204,3654.583333,19.73448212,0.526941298,2177.444697,0.595812025,3714,179,235,158929447,1.95501829,29,3.7375275,312,17.60888953,205.6152396,203,128,184,11.95387104,206.8622463,0.5509771,158929447,0.306537229,514.362191,13.61851555,23.29580006,2.041525659,2.442072184,0.830714439,0.490970677,0.641004958,1.350964788,0.415743843,0.709568583,0.698453279,0.987521596,0.930847298,-0.115551289,0.581814654,0.489514614,3.635288221,0.119168325,3.553254407,0.601862062,0.197013969,7.270576442,2.649944853,0.818196656,5.971809305,210.0764674,0.0565634,23.27382716,1138.479268,0.909145822,14.87991384,132.7167474,1758.709747,11.80364625,0.089771962,0.039062635,0.802343665,0.0037325,659.2138927,0.279028711,1.053432656,15.53051283,3.553241982,49.82066559,0.317879674,0.090480264,3.504147766,1140.344559,0.479182731,0.636096268,1.037864648,0.715240789,11.50248856,0.06533554,28.1023622,0.221278443,2.657573315,23.2992126,29677.82677,385640.8189,2526.632566,0.102402747,33.31496063,0.262322525,0.514333126,12.49447344,0.048542136,4.550708901,0.034194938,28822.60971,12.99794449,0.00209166,14.29260636,0.016099683,0.058560838
405,49.69369489,816,10250,1,0.861287969,0.601774068,19.5356311,32.46339806,35.35533906,34.40930107,38.20994635,38.94868419,10152.04167,27.96033417,0.536790648,4223.911188,0.416065194,10250,122,287,442308169,3.340292908,84,3.019275175,427,50.25111879,197.9027317,189,34,393,34.91819764,207.7306344,0.528609512,442308169,0.116508021,3986.525271,57.25754881,1320.666685,47.12718993,20.70789144,1.780512818,0.840972567,0.924773928,1.753555687,0.899623741,0.643585518,0.616481499,0.994019377,0.95096502,-0.300459036,0.918593488,0.475585874,7.247404248,0.034592194,5.511357943,0.850583981,0.084540817,14.4948085,4.179434198,5.622101063,7.307878007,619.9080976,0.060478839,23.17354752,1194.20722,6.468007377,61.64029268,109.7851707,5159.032878,3.346607245,0.027903362,0.045151002,4.445395396,0.001044404,744.8947855,0.106695406,7.12712039,66.54476691,3.139925167,173.4770022,0.089969704,0.027068602,4.696435034,3811.53829,0.540979566,0.680517824,0.919293575,0.761627486,53.80531264,0.019986056,27.22429907,0.084810901,13.23643986,116.4392523,34309.99377,1658967.411,856.5441439,0.029933514,86.82554517,0.270484564,0.539048307,67.89785272,0.010523409,6.104049179,0.031317073,33290.37537,4.624609566,0.001654833,70.23018494,0.027468185,0.189181087
1688,61.93796057,920,73,1,0.598610818,0.546226304,3.701031619,6.775637852,6.32455532,5,8.062257748,8.124038405,66.625,4.055970119,0.846106069,93.93284197,1.409873801,73,320,354.8,8337618,1.31171048,14,5.326527203,364,10.3197598,337.6438356,339,288,76,5.973840666,337.9555373,-1.208759307,8337618,0.524488647,210.5854757,8.978156845,3.402813268,-0.516634205,0.849405166,0.542969335,0.209714063,0.449594708,1.109105896,0.325338483,0.790765084,0.784540109,0.969708415,0.913193546,-0.153322065,0.489401502,0.367891908,2.983371674,0.334996415,2.18694399,0.384966578,0.543162668,5.966743348,1.705094156,0.348093625,4.470866429,4.616438356,0.063238882,33.98611372,38.28767123,0.422968662,9.178082192,134.260274,1225.452055,15.14716514,0.15553653,0.05502576,0.513819573,0.014284137,19.82853951,0.415464325,0.582714322,9.171903083,3.302676222,30.26575879,0.455785144,0.175163745,2.610891951,23.57446761,0.481091581,0.653319283,0.664459924,0.69008372,6.301289635,0.137757025,1.857142857,0.265306122,1.06122449,8.428571429,364.1428571,3343.714286,41.57638889,0.263888889,1.285714286,0.183673469,0.217519816,2.732757713,0.034262563,2.807354922,0.095890411,255.3877551,0.910172219,0.083896027,2.626065955,0.031838683,0.457034323
1181,3888.555728,69267.59375,1289,23,0.816727332,0.488246476,18.12306336,37.11867725,45.48626166,37.21558813,35.73513677,46.05431576,1175.875,30.31583824,0.307082662,1754.43089,1.492021592,1289,19532.30156,30637.00547,9.38E+11,8.492626239,3628.947266,11.25193418,37862.90625,3581.07983,26451.87366,27937.13867,0,37862.90625,1914.841399,26979.3277,-2.439987355,9.38E+11,0.003645455,28182503.28,1151667.828,2.06E+11,-127036534.1,150845.8881,19332.63587,0.765147258,70.16299116,6.925500918,14195.17915,0.066870016,0.029920044,0.992975864,0.959808767,-0.749702828,0.999998069,0.023642375,1057.694518,0.000799697,10.40730996,1,0.006005873,2115.389036,8.619824313,42544.63099,8.770927889,982.5407292,0.762250372,0.58631218,4.698991466,45071.57721,1165652.32,2.056633049,1726667.31,0.634601798,0.015516866,0.894787582,1051194.217,0.00061986,4.578640864,0.003581145,41874.4654,1168669.373,1.026512298,1188548.324,0.02349882,0.012565186,8.525235784,1259.276811,0.984941497,0.991824312,0.009867782,0.99421811,1163699.636,0.010677962,3.991596639,0.003354283,29421.56223,1177492.393,1.55210084,1452407.994,0.336135625,0.00084132,1052.060504,0.884084457,0.95292577,1119030.898,0.00000304,8.708989587,0.923196276,0.378793164,0.000631963,0.003355485,12018034.57,19.08437704,1473.552109
1117,138.3308877,1990,16459,17,0.497348131,0.34494226,25.290658,73.31852593,50.92150823,60.87692502,65.55150647,67.23094526,16131.75,36.46483187,0.294142546,10496.56661,0.650677491,16459,805,1197,18616801469,4.215213491,224,2.528327931,1584,122.8185811,1053.037062,1105,683,901,89.92963409,1063.532611,-0.712239186,18616801469,0.068847271,22214.56075,287.623475,46267.61705,-1381.96959,128.9461238,2.889260955,0.955942356,1.081442178,1.948895665,1.69351747,0.625054352,0.594188986,0.99793807,0.972658113,-0.395637103,0.978467187,0.463368702,16.00302081,0.01979492,6.549003716,0.974366568,0.057883052,32.00604161,5.02479058,32.95884618,8.188362514,996.9040039,0.060568929,23.93746494,1133.157239,35.60529819,280.164044,92.08645726,28217.78796,0.905998462,0.013610714,0.082628546,23.76594487,0.001251411,734.0151144,0.06181649,37.08972036,274.3417885,2.624535279,763.4928539,0.031591352,0.014519668,5.463791947,7015.450382,0.587745956,0.720952296,0.672499943,0.794062302,214.9922137,0.011993419,56.25473071,0.040942308,46.42054669,285.0713246,6227.827511,2185769.866,31.59304301,0.018178136,400.8820961,0.291762806,0.558940549,172.30421,0.008316989,7.183855511,0.083480163,6084.333616,0.900137818,0.001437689,411.9733726,0.041159359,0.918240316
2249,4789.88465,104027.0156,35622,3,0.904243395,0.66165349,31.26179435,47.24798526,53.00943312,50.56678752,50.32891813,54.00925847,35621.875,42.7236786,0.58100907,9011.126012,0.252966078,35622,22621.81211,36186.17266,2.84E+13,9.421750193,5921.160645,4.757062011,52284.83203,4305.155452,27657.93122,25677.17676,14018.20215,38266.62988,2683.778755,28224.79309,1.438645799,2.84E+13,0.00204722,31677785.48,327620.7831,1.59E+11,113751893.3,175390.3749,9249.122123,0.899224077,70.49536929,7.528661828,4128.996312,0.048786476,0.017868353,0.996136763,0.957500489,-0.347296486,0.999222225,0.018489644,534.8636562,0.0000261,15.45328697,0.934674755,0.000141935,1069.727312,10.2401318,46159.87426,9.956345582,27584.48897,0.774366655,0.146597922,72.92605693,50684.95659,349697.6511,1.446128797,461663.4234,0.0000356,0.000033,0.902517187,324389.7068,0.0000325,72.34046272,0.002041763,50773.80679,350212.4689,1.016559219,354429.4232,0.0000333,0.0000332,9.461583571,35057.94896,0.989483743,0.994616551,0.005688994,0.996017108,349195.643,0.0000332,65.69417008,0.001978263,51822.85414,356442.318,1.237834257,416394.6922,0.0000364,0.000035,29176.48241,0.878598001,0.950637568,343435.061,0.0000348,9.793863248,0.93223289,0.087163283,0.003317436,0.000442315,29468151.17,2.35504139,468.4662381
966,56.40392153,774.8417969,888,1,0.681057112,0.56628327,10.24388752,18.08968771,22.47220505,18.24828759,16.15549442,22.75961335,861.9583333,12.32011048,0.533637609,820.7833595,0.9522309,888,217.3436111,248.7660431,48532426.21,1.187904939,17.30584335,2.979627095,264.0257263,9.927817766,233.4559233,234.4899826,190.3790131,73.64671326,7.044196862,233.781165,-0.391859826,48532426.21,0.52873397,151.964988,8.058863701,2.282857729,-0.323383701,0.837925345,0.335077637,0.430141827,0.321943435,0.925477578,0.22617032,0.841217316,0.840341703,0.980521331,0.93604912,-0.149161463,0.507495927,0.310451008,2.816549024,0.336742181,2.153450195,0.452607695,0.539512122,5.633098048,1.791273234,0.293250745,5.460712619,40.40315315,0.045499046,37.14844574,469.5157658,0.30325765,8.292792793,220.7387387,1824.603604,29.36711712,0.145348473,0.024068967,0.235326056,0.004330631,201.9678517,0.438563766,0.412269528,8.380692896,6.184961216,51.30043709,0.849228276,0.153230875,3.19486245,167.3940161,0.351050969,0.517325017,1.889517707,0.587076895,5.023643696,0.094589997,7.695652174,0.334593573,1.122873346,9.608695652,16810.08696,145175.0435,2043.410024,0.21557971,2.826086957,0.122873346,0.281753897,3.40060584,0.045251264,4.088779347,0.025900901,15319.45558,8.100503147,0.009780766,1.873852031,0.014794344,0.051088874
92,81.38379285,976.8018799,997,1,0.759590452,0.5799595,9.93160242,17.12464823,21.02379604,22.09072203,16.55294536,23.43074903,974.625,13.00771928,0.551147135,862.5314421,0.884988013,997,173.5156158,460.5080872,98837256.45,4.037171086,139.4581604,2.967329964,626.1048584,88.55716077,294.949638,271.0440063,90.38346863,535.7213898,61.38998905,314.8565712,0.751901039,98837256.45,0.071354485,12139.37148,89.61552363,13459.90949,467.9860485,62.68776825,7.349281934,0.788949564,2.09231366,2.590978629,2.865697762,0.443980605,0.368307541,0.986726056,0.920679478,-0.210877511,0.893831465,0.370050076,8.704594925,0.010523966,7.065914011,0.831201366,0.028754294,17.40918985,4.804992144,17.50926255,6.69294624,142.9638917,0.143394074,4.64307466,71.14042126,19.37381653,105.9739218,20.2998997,1596.527583,0.626733498,0.028122051,0.185393523,26.22412041,0.005085164,61.71374425,0.069828034,19.5470392,108.6869101,1.443024969,144.90723,0.041210491,0.027934164,4.57791899,710.0157807,0.802175273,0.886274207,0.165140944,0.915057449,101.2262931,0.025431005,13.31279621,0.063093821,22.37726017,149.3933649,114.4691943,6754.78673,3.251159559,0.02838808,52.69668246,0.24974731,0.509779952,83.47915949,0.013408067,6.188278821,0.211634905,92.14244963,0.461025055,0.013385567,258.2386319,0.092443425,2.699492774
